E.coli date,E.coli value,Max flow date (past 24 hours),Max flow value (past 24 hours),Max flow value (past 96 hours),Total flow value (past 96 hours)
2016-11-30,440.0,2016-11-29,1500.35,3537.78,8782.75
2016-12-07,25.0,2016-12-06,1537.0,1957.96,6781.91
2016-12-13,30.0,2016-12-12,2502.4,4514.57,9101.55
2016-12-20,80.0,2016-12-19,1537.0,11250.38,17633.48
2016-12-29,25.0,2016-12-28,1549.32,1549.32,5434.360000000001
2017-01-05,21.0,2017-01-04,5397.09,13132.69,31527.799999999996
2017-01-10,150.0,2017-01-09,1611.75,2682.8,8622.14
2017-01-17,16.0,2017-01-16,12980.58,12980.58,34090.3
2017-01-25,38.0,2017-01-24,8992.76,8992.76,25076.57
2017-01-31,81.0,2017-01-30,1834.02,3520.78,10169.19
2017-02-08,16.0,2017-02-07,3434.92,37671.85,52757.84
2017-02-14,53.0,2017-02-13,1873.84,3114.52,9583.28
2017-02-21,75.0,2017-02-20,1419.2,4523.02,9981.72
2017-02-28,70.0,2017-02-27,743.9,923.7,3302.5199999999995
2017-03-07,68.0,2017-03-06,600.47,784.23,2550.31
2017-03-14,48.0,2017-03-13,7599.42,7599.42,10486.45
2017-03-21,1000.0,2017-03-20,543.13,742.48,2542.76
2017-03-28,63.0,2017-03-27,4538.23,12985.96,21671.8
2017-04-04,900.0,2017-04-03,4351.33,4351.33,9852.41
2017-04-11,34.0,2017-04-10,2336.0,13669.71,24991.96
2017-04-19,30.0,2017-04-18,4514.67,11745.06,26345.03
2017-04-27,92.0,2017-04-26,899.24,1242.1,4244.15
2017-11-06,63.0,2017-11-05,2155.97,4171.43,7880.04
2017-11-12,10.0,2017-11-11,780.47,4815.04,7285.570000000001
2017-11-21,63.0,2017-11-20,460.99,523.18,1970.92
2017-11-29,158.0,2017-11-28,377.18,401.07,1556.49
2017-12-03,20.0,2017-12-02,345.41,667.53,1986.32
2017-12-12,52.0,2017-12-11,789.05,789.05,1663.0
2017-12-18,20.0,2017-12-17,262.39,290.0,1108.72
2017-12-27,86.0,2017-12-26,262.39,262.39,959.0899999999999
2018-01-03,97.0,2018-01-02,230.92,250.58,939.42
2018-01-08,109.0,2018-01-07,1236.17,1590.33,3485.6400000000003
2018-01-14,118.0,2018-01-13,888.88,9085.02,17672.73
2018-02-04,120.0,2018-02-03,7674.52,7674.52,8667.86
2018-02-13,122.0,2018-02-12,18183.64,18183.64,19219.899999999998
2018-02-19,120.0,2018-02-18,1393.8,2792.09,7199.29
2018-02-25,63.0,2018-02-24,2499.05,41760.06,49078.81
2018-03-06,110.0,2018-03-05,963.32,1541.12,4846.7
2018-03-12,52.0,2018-03-11,692.68,1935.79,4423.07
2018-03-18,10.0,2018-03-17,543.9,574.28,2248.2999999999997
2018-03-27,10.0,2018-03-26,11766.66,11766.66,31891.22
2018-04-05,52.0,2018-04-04,840.8,1201.1,4082.2499999999995
2018-04-08,63.0,2018-04-07,678.83,840.8,3087.8999999999996
2018-04-15,20.0,2018-04-14,9271.2,14547.52,28253.980000000003
2018-04-23,20.0,2018-04-22,1346.77,2319.02,7055.130000000001
2018-11-12,10.0,2018-11-11,5765.84,14257.9,32399.55
2018-11-18,86.0,2018-11-17,972.08,1455.95,4742.34
2018-11-26,495.0,2018-11-25,579.06,963.69,2860.96
2018-12-02,52.0,2018-12-01,548.88,1655.53,3678.0600000000004
2018-12-10,97.0,2018-12-09,480.76,1124.54,3008.91
2018-12-24,10.0,2018-12-23,1124.54,1566.26,3049.7400000000002
2018-12-30,379.0,2018-12-29,548.88,1339.27,3280.66
2019-01-07,932.0,2019-01-06,1017.02,5765.84,10109.54
2019-01-13,73.0,2019-01-12,1017.02,1250.4,4381.11
2019-01-22,63.0,2019-01-21,1815.65,1815.65,4305.15
2019-01-27,457.0,2019-01-26,662.44,1455.95,3307.9900000000002
2019-02-10,85.0,2019-02-09,475.36,579.06,2130.15
2019-02-18,73.0,2019-02-17,514.06,1432.11,2845.88
2019-02-24,504.0,2019-02-23,12436.68,12436.68,13589.26
2019-03-04,96.0,2019-03-03,655.77,955.33,3156.49
2019-03-10,31.0,2019-03-09,2331.81,2331.81,4913.91
2019-03-17,41.0,2019-03-16,1305.48,7568.85,12498.21
2019-03-24,121.0,2019-03-23,525.5,642.57,2320.57
2019-04-01,784.0,2019-03-31,519.76,4547.89,8356.33
2019-04-07,85.0,2019-04-06,519.76,1504.35,3280.5
2019-04-15,86.0,2019-04-14,947.02,4890.25,11164.710000000001
2019-04-29,1296.0,2019-04-28,486.21,486.21,1804.99
